square,higher_geography_identifier,geographic_region__higher_geography
SJ78E,58,Cheshire
SJ79A,58,Cheshire
SJ79B,58,Cheshire
SJ74G,58,Cheshire
SJ74H,58,Cheshire
SJ74I,58,Cheshire
SJ74J,58,Cheshire
SJ75F,58,Cheshire
SJ75G,58,Cheshire
SJ75H,58,Cheshire
SJ75I,58,Cheshire
SJ75J,58,Cheshire
SJ76F,58,Cheshire
SJ76G,58,Cheshire
SJ76H,58,Cheshire
SJ76I,58,Cheshire
SJ76J,58,Cheshire
SJ77F,58,Cheshire
SJ77G,58,Cheshire
SJ77H,58,Cheshire
SJ77I,58,Cheshire
SJ77J,58,Cheshire
SJ78F,58,Cheshire
SJ78G,58,Cheshire
SJ78H,58,Cheshire
SJ78I,58,Cheshire
SJ78J,58,Cheshire
SJ79F,58,Cheshire
SJ79G,58,Cheshire
SJ74M,58,Cheshire
SJ74N,58,Cheshire
SJ74P,58,Cheshire
SJ75K,58,Cheshire
SJ75L,58,Cheshire
SJ75M,58,Cheshire
SJ75N,58,Cheshire
SJ75P,58,Cheshire
SJ76K,58,Cheshire
SJ76L,58,Cheshire
SJ76M,58,Cheshire
SJ76N,58,Cheshire
SJ76P,58,Cheshire
SJ77K,58,Cheshire
SJ77L,58,Cheshire
SJ77M,58,Cheshire
SJ77N,58,Cheshire
SJ77P,58,Cheshire
SJ78K,58,Cheshire
SJ78L,58,Cheshire
SJ78M,58,Cheshire
SJ78N,58,Cheshire
SJ78P,58,Cheshire
SJ79K,58,Cheshire
SJ79L,58,Cheshire
SJ75Q,58,Cheshire
SJ75R,58,Cheshire
SJ75S,58,Cheshire
SJ75T,58,Cheshire
SJ75U,58,Cheshire
SJ76Q,58,Cheshire
SJ76R,58,Cheshire
SJ76S,58,Cheshire
SJ76T,58,Cheshire
SJ76U,58,Cheshire
SJ77Q,58,Cheshire
SJ77R,58,Cheshire
SJ77S,58,Cheshire
SJ77T,58,Cheshire
SJ77U,58,Cheshire
SJ78Q,58,Cheshire
SJ78R,58,Cheshire
SJ78S,58,Cheshire
SJ78T,58,Cheshire
SJ78U,58,Cheshire
SJ79Q,58,Cheshire
SJ79R,58,Cheshire
SJ75W,58,Cheshire
SJ75X,58,Cheshire
SJ75Y,58,Cheshire
SJ75Z,58,Cheshire
SJ76V,58,Cheshire
SJ76W,58,Cheshire
SJ76X,58,Cheshire
SJ76Y,58,Cheshire
SJ76Z,58,Cheshire
SJ77V,58,Cheshire
SJ77W,58,Cheshire
SJ77X,58,Cheshire
SJ77Y,58,Cheshire
SJ77Z,58,Cheshire
SJ78V,58,Cheshire
SJ78W,58,Cheshire
SJ78X,58,Cheshire
SJ78Y,58,Cheshire
SJ78Z,58,Cheshire
SJ79V,58,Cheshire
SJ79W,58,Cheshire
SJ85B,58,Cheshire
SJ85C,58,Cheshire
SJ85D,58,Cheshire
SJ85E,58,Cheshire
SJ86A,58,Cheshire
SJ86B,58,Cheshire
SJ86C,58,Cheshire
SJ86D,58,Cheshire
SJ86E,58,Cheshire
SJ87A,58,Cheshire
SJ87B,58,Cheshire
SJ87C,58,Cheshire
SJ87D,58,Cheshire
SJ87E,58,Cheshire
SJ88A,58,Cheshire
SJ88B,58,Cheshire
SJ88C,58,Cheshire
SJ88D,58,Cheshire
SJ88E,58,Cheshire
SJ89A,58,Cheshire
SJ89B,58,Cheshire
SJ85H,58,Cheshire
SJ85I,58,Cheshire
SJ85J,58,Cheshire
SJ86F,58,Cheshire
SJ86G,58,Cheshire
SJ86H,58,Cheshire
SJ86I,58,Cheshire
SJ86J,58,Cheshire
SJ87F,58,Cheshire
SJ87G,58,Cheshire
SJ87H,58,Cheshire
SJ87I,58,Cheshire
SJ87J,58,Cheshire
SJ88F,58,Cheshire
SJ88G,58,Cheshire
SJ88H,58,Cheshire
SJ88I,58,Cheshire
SJ88J,58,Cheshire
SJ89F,58,Cheshire
SJ85M,58,Cheshire
SJ85N,58,Cheshire
SJ85P,58,Cheshire
SJ86K,58,Cheshire
SJ86L,58,Cheshire
SJ86M,58,Cheshire
SJ86N,58,Cheshire
SJ86P,58,Cheshire
SJ87K,58,Cheshire
SJ87L,58,Cheshire
SJ87M,58,Cheshire
SJ87N,58,Cheshire
SJ87P,58,Cheshire
SJ88K,58,Cheshire
SJ88L,58,Cheshire
SJ88M,58,Cheshire
SJ88N,58,Cheshire
SJ88P,58,Cheshire
SJ89K,58,Cheshire
SJ85T,58,Cheshire
SJ85U,58,Cheshire
SJ86Q,58,Cheshire
SJ86R,58,Cheshire
SJ86S,58,Cheshire
SJ86T,58,Cheshire
